# Coordenador iniciado em 2026-05-12 00:16:01.549
# TIMESTAMP|TIPO|DIRECAO|PROCESSO
2026-05-12 00:16:13.158|REQUEST|IN|P1
2026-05-12 00:16:13.158|GRANT|OUT|P1
2026-05-12 00:16:13.158|REQUEST|IN|P2
2026-05-12 00:16:13.158|REQUEST|IN|P3
2026-05-12 00:16:13.159|RELEASE|IN|P1
2026-05-12 00:16:13.159|GRANT|OUT|P2
2026-05-12 00:16:13.160|RELEASE|IN|P2
2026-05-12 00:16:13.160|GRANT|OUT|P3
2026-05-12 00:16:13.161|RELEASE|IN|P3
2026-05-12 00:16:14.159|REQUEST|IN|P1
2026-05-12 00:16:14.159|GRANT|OUT|P1
2026-05-12 00:16:14.160|REQUEST|IN|P2
2026-05-12 00:16:14.161|RELEASE|IN|P1
2026-05-12 00:16:14.161|GRANT|OUT|P2
2026-05-12 00:16:14.161|REQUEST|IN|P3
2026-05-12 00:16:14.162|RELEASE|IN|P2
2026-05-12 00:16:14.162|GRANT|OUT|P3
2026-05-12 00:16:14.163|RELEASE|IN|P3
2026-05-12 00:16:15.161|REQUEST|IN|P1
2026-05-12 00:16:15.161|GRANT|OUT|P1
2026-05-12 00:16:15.161|RELEASE|IN|P1
2026-05-12 00:16:15.163|REQUEST|IN|P2
2026-05-12 00:16:15.163|GRANT|OUT|P2
2026-05-12 00:16:15.163|RELEASE|IN|P2
2026-05-12 00:16:15.164|REQUEST|IN|P3
2026-05-12 00:16:15.164|GRANT|OUT|P3
2026-05-12 00:16:15.164|RELEASE|IN|P3
2026-05-12 00:16:16.163|REQUEST|IN|P1
2026-05-12 00:16:16.163|GRANT|OUT|P1
2026-05-12 00:16:16.164|REQUEST|IN|P2
2026-05-12 00:16:16.164|RELEASE|IN|P1
2026-05-12 00:16:16.164|GRANT|OUT|P2
2026-05-12 00:16:16.165|RELEASE|IN|P2
2026-05-12 00:16:16.165|REQUEST|IN|P3
2026-05-12 00:16:16.165|GRANT|OUT|P3
2026-05-12 00:16:16.165|RELEASE|IN|P3
2026-05-12 00:16:17.165|REQUEST|IN|P1
2026-05-12 00:16:17.165|GRANT|OUT|P1
2026-05-12 00:16:17.166|REQUEST|IN|P2
2026-05-12 00:16:17.167|REQUEST|IN|P3
2026-05-12 00:16:17.167|RELEASE|IN|P1
2026-05-12 00:16:17.167|GRANT|OUT|P2
2026-05-12 00:16:17.167|RELEASE|IN|P2
2026-05-12 00:16:17.169|GRANT|OUT|P3
2026-05-12 00:16:17.169|RELEASE|IN|P3
